collision_date,contributing_factor,num_contributing_factor
2012-08-17,Windshield Inadequate,1
2015-10-27,Drugs (Illegal),3
2015-06-23,Drugs (Illegal),3
2016-03-16,1,3
2015-07-17,Drugs (Illegal),2
2016-03-08,Cell Phone (hands-free),3
2016-04-03,80,22
2013-04-17,Drugs (Illegal),1
2016-04-06,80,4
2016-10-06,Cell Phone (hand-Held),1
2013-08-15,Drugs (Illegal),1
2020-10-04,Cell Phone (hands-free),1
2016-03-28,80,12
2022-07-08,Eating or Drinking,1
2015-09-17,Drugs (Illegal),1
2018-07-30,Tinted Windows,1
2013-12-03,Headlights Defective,1
2017-05-30,Cell Phone (hand-Held),1
2014-06-30,Drugs (Illegal),2
2014-08-28,Cell Phone (hand-held),1
2012-07-16,Drugs (Illegal),1
2012-09-12,Drugs (Illegal),1
2014-12-15,Drugs (Illegal),3
2015-08-24,Drugs (Illegal),1
2015-08-17,Drugs (Illegal),1
2019-09-11,Other Lighting Defects,1
2013-09-12,Cell Phone (hands-free),2
2013-07-24,Other Lighting Defects,1
2015-12-08,Headlights Defective,2
2013-08-21,Drugs (Illegal),1
2015-05-03,Cell Phone (hands-free),2
2021-07-16,Tinted Windows,1
2018-02-13,Headlights Defective,1
2021-02-20,Other Lighting Defects,1
2019-07-11,Other Lighting Defects,1
2021-08-29,Shoulders Defective/Improper,1
2016-09-15,Vehicle Vandalism,2
2016-04-04,80,7
2016-04-14,80,2
2018-10-19,Headlights Defective,1
2016-10-06,Other Lighting Defects,1
2020-12-08,Using On Board Navigation Device,1
2021-06-28,Other Lighting Defects,1
2020-04-15,Cell Phone (hand-Held),1
2021-09-24,Cell Phone (hand-Held),1
2016-07-15,Cell Phone (hand-Held),1
2016-06-22,Eating or Drinking,1
2021-01-27,Tinted Windows,1
2016-03-19,80,5
2019-02-12,Headlights Defective,1
2019-10-04,Cell Phone (hands-free),1
2015-04-06,Drugs (Illegal),2
2013-08-22,Cell Phone (hand-held),1
2016-02-07,Drugs (Illegal),1
2016-01-14,Drugs (Illegal),1
2014-09-26,Drugs (Illegal),4
2014-11-08,Drugs (Illegal),3
2018-03-10,Cell Phone (hands-free),1
2017-02-12,Headlights Defective,1
2014-03-06,Drugs (Illegal),3
2019-05-06,Cell Phone (hands-free),1
2020-01-15,Other Lighting Defects,1
2015-05-16,Drugs (Illegal),2
2013-06-30,Drugs (Illegal),2
2016-04-14,Headlights Defective,1
2016-06-14,Cell Phone (hands-free),2
2013-11-11,Drugs (Illegal),1
2014-08-12,Drugs (Illegal),2
2012-10-05,Drugs (Illegal),1
2014-10-15,Cell Phone (hands-free),2
2017-08-08,Cell Phone (hand-Held),1
2015-08-14,Windshield Inadequate,1
2021-09-22,Vehicle Vandalism,1
2012-07-14,Cell Phone (hands-free),1
2014-02-03,Drugs (Illegal),1
2016-03-23,1,2
2014-08-09,Drugs (Illegal),1
2012-09-14,Headlights Defective,1
2015-11-14,Cell Phone (hand-held),2
2019-11-23,Tow Hitch Defective,1
2012-12-13,Drugs (Illegal),1
2013-10-06,Drugs (Illegal),1
2016-03-25,Eating or Drinking,1
2013-10-09,Drugs (Illegal),1
2019-06-11,Cell Phone (hand-Held),1
2015-03-26,Cell Phone (hands-free),1
2020-11-10,Vehicle Vandalism,2
2013-09-22,Drugs (Illegal),2
2013-04-12,Drugs (Illegal),1
2014-12-20,Headlights Defective,3
2018-11-12,Other Lighting Defects,2
2013-08-25,Cell Phone (hand-held),1
2018-03-31,Cell Phone (hand-Held),1
2021-05-22,Headlights Defective,1
2013-07-09,Drugs (Illegal),1
2021-10-16,Listening/Using Headphones,1
2018-06-27,Cell Phone (hand-Held),1
2021-07-29,Tow Hitch Defective,2
2014-02-06,Drugs (Illegal),3
2021-10-26,Other Lighting Defects,2
2019-12-22,Tinted Windows,1
2013-05-09,Headlights Defective,1
2019-05-24,Cell Phone (hand-Held),1
2015-10-14,Tow Hitch Defective,2
2016-04-16,1,1
2019-06-30,Listening/Using Headphones,1
2014-07-04,Cell Phone (hand-held),1
2015-11-08,Cell Phone (hand-held),2
2020-03-10,Cell Phone (hand-Held),1
2015-08-03,Other Lighting Defects,2
2016-02-18,Cell Phone (hands-free),1
2019-04-27,Using On Board Navigation Device,1
2021-09-25,Vehicle Vandalism,2
2017-08-23,Cell Phone (hand-Held),1
2012-11-05,Drugs (Illegal),1
2017-04-10,Cell Phone (hands-free),1
2016-03-30,80,5
2016-04-21,80,5
2021-04-05,Cell Phone (hand-Held),1
2013-01-18,Cell Phone (hand-held),1
2022-06-09,Headlights Defective,1
2013-04-22,Cell Phone (hands-free),2
2015-10-27,Headlights Defective,1
2019-01-02,Other Lighting Defects,1
2015-11-23,Cell Phone (hand-held),1
2013-10-18,Cell Phone (hands-free),1
2019-10-03,Shoulders Defective/Improper,1
2016-12-16,Cell Phone (hands-free),1
2012-09-17,Cell Phone (hands-free),1
2020-08-09,Other Lighting Defects,1
2022-05-16,Cell Phone (hand-Held),1
2020-02-05,Other Lighting Defects,1
2013-11-19,Other Lighting Defects,2
2016-04-18,80,3
2022-10-31,Tow Hitch Defective,1
2021-10-04,Headlights Defective,1
2012-10-06,Drugs (Illegal),6
2019-04-19,Eating or Drinking,1
2014-08-22,Drugs (Illegal),1
2015-06-07,Drugs (Illegal),3
2020-09-05,Using On Board Navigation Device,1
2014-07-05,Drugs (Illegal),3
2012-09-23,Cell Phone (hands-free),2
2016-01-26,Shoulders Defective/Improper,2
2015-10-26,Tow Hitch Defective,2
2015-01-03,Drugs (Illegal),2
2014-05-16,Drugs (Illegal),1
2014-07-01,Drugs (Illegal),1
2013-06-09,Shoulders Defective/Improper,1
2012-09-18,Cell Phone (hand-held),1
2016-03-23,Tinted Windows,1
2016-03-18,80,3
2021-10-03,Tinted Windows,2
2016-03-24,1,2
2018-04-05,Using On Board Navigation Device,1
2017-08-18,Cell Phone (hand-Held),1
2016-05-03,Tow Hitch Defective,2
2016-08-05,Cell Phone (hand-Held),1
2017-01-23,Tinted Windows,2
2017-10-08,Tow Hitch Defective,1
2018-03-27,Cell Phone (hand-Held),1
2020-07-28,Using On Board Navigation Device,1
