"","id","year","jan","feb","mar","apr","may","jun","jul","aug","sep","oct","nov","dec","mon","tue","wed","thu","fri","sat","sun","temp","visib","wdsp","num_collisions"
"1",1105,2016,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5.7,9.1,12.8,734
"2",1307,2016,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,24.7,8.4,16.9,658
"3",558,2014,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,18.3,10,5.8,480
"4",181,2013,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,19.3,4.1,12,633
"5",191,2013,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,22.1,4.9,10.9,550
"6",1907,2018,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5.4,9.6,9.9,706
"7",2168,2019,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6.9,5.6,15.4,514
"8",214,2013,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,20.7,7.2,12.5,492
"9",2249,2019,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9.6,8.6,16.9,450
"10",1566,2017,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,11.4,7.1,12.2,514
"11",55,2013,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5.9,4.3,19.7,426
"12",1474,2017,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.6,10,10.4,609
"13",1913,2018,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9.6,7.1,17.4,626
"14",1437,2016,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,9.9,4.4,20.1,569
"15",898,2015,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,19.5,9.3,8.2,622
"16",98,2013,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9.7,6.7,12.3,613
"17",1232,2016,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,14.7,7.8,7.7,710
"18",2320,2019,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,15.2,10,12.1,613
"19",1617,2017,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,18.7,9.9,13.2,767
"20",213,2013,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,20.9,9.5,9.6,626
"21",1149,2016,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5.1,8.8,7.6,625
"22",2002,2018,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,20.7,5.7,11.3,654
"23",1111,2016,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8.7,6.9,13.6,716
"24",1548,2017,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8.8,10,13.9,516
"25",1876,2018,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.8,10,14,686
"26",1892,2018,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8.5,3.5,18.1,554
"27",125,2013,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9.6,5.1,6.3,561
"28",667,2014,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,14.3,9.3,12.8,554
"29",997,2015,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,13.9,10,6.2,668
"30",2244,2019,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2.7,10,12.4,610
"31",1832,2018,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.2,6.4,13.7,617
"32",1826,2018,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2.7,10,14,510
"33",863,2015,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,16.2,9.8,16.6,686
"34",1059,2015,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,6.5,10,10,575
"35",1401,2016,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3.8,10,24.4,684
"36",589,2014,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,17.7,8.8,4.7,516
"37",759,2015,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2.4,7.4,24.3,571
"38",1166,2016,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9.2,9.7,22.6,683
