"","id","year","jan","feb","mar","apr","may","jun","jul","aug","sep","oct","nov","dec","mon","tue","wed","thu","fri","sat","sun","temp","visib","wdsp","slp","dewp","num_collisions"
"1",1354,2016,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,15.8,9.7,14.3,1023.5,12.3,523
"2",1825,2018,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-3.7,10,16.6,1035,-13.9,677
"3",1639,2017,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,24.2,5.7,9,1010.4,20.9,733
"4",2168,2019,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6.9,5.6,15.4,997.6,4.2,514
"5",1301,2016,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,23.1,4.7,12.8,1018.5,22.1,672
"6",2071,2018,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,16.7,10,6.2,1026.4,13.4,583
"7",1259,2016,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,20.5,5.9,7.4,1014.4,17.6,761
"8",1916,2018,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9.7,5.1,7.2,1010.7,9.1,604
"9",1611,2017,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,18.3,6.3,11.2,1010.9,17.4,793
"10",1589,2017,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,13.2,3,8.9,1013.3,12.1,654
"11",845,2015,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,11.3,7.1,10.1,1021.8,8.8,709
"12",2377,2019,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,20.5,9.8,8.3,1013.4,18.6,551
"13",118,2013,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9.8,9.9,4.9,1025.5,3.3,598
"14",668,2014,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,12,9.4,6.4,1015.8,9.3,652
"15",281,2013,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,13.6,10,13.3,1027.9,6.8,529
"16",1714,2017,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,15.2,10,14.3,1029.6,13.4,711
"17",548,2014,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,20.8,5.1,14.2,1012.5,19.3,569
"18",680,2014,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,9.4,7.8,19.7,1004.5,4.2,712
"19",2356,2019,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,21.3,8.7,6.1,1017.6,18.8,658
"20",434,2014,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1.9,10,16.3,1018.8,-11.1,519
"21",2153,2018,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1.8,9.5,5.6,1017.2,-1.6,580
"22",1544,2017,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8.6,10,5.8,1027.8,1.2,515
"23",2191,2019,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-8,9.8,12.5,1027.8,-18.7,651
"24",594,2014,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,17.7,10,10.4,1019.4,13.8,437
