"","id","year","jan","feb","mar","apr","may","jun","jul","aug","sep","oct","nov","dec","mon","tue","wed","thu","fri","sat","sun","temp","visib","wdsp","slp","dewp","max","min","mxpsd","fog","prcp","num_collisions"
"1",1245,2016,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,18.4,10,7.6,1009.1,13.5,23.3,12.8,16.1,0,0,689
"2",1044,2015,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,3.1,10,13.5,1024.6,-8.3,8.9,-0.6,23,0,0.25,733
"3",2261,2019,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6.6,10,9.7,1027,1.8,8.9,1.7,15,0,0,688
"4",1388,2016,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,8.4,10,8.2,1020.5,3.4,13.9,3.9,12.8,0,0,620
"5",626,2014,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,15.4,8.6,10.2,1031,12.9,20,9.4,17.3,0,0,491
"6",272,2013,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,15.3,9.8,12,1016.9,12.4,19.4,7.2,21.9,0,0.01,605
"7",1435,2016,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,4.7,10,14.4,1026.1,-0.7,9.4,1.7,24.2,0,0.25,365
"8",2130,2018,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,3.5,9.9,6.6,1020.3,-0.1,6.7,0.6,10.2,0,0,601
"9",2421,2019,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,14.1,10,13.1,1025.5,7.6,17.8,10,18.3,0,0.02,605
"10",1525,2017,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2.8,9.5,11.3,1031.4,-1.1,10,-2.2,19.7,0,0,456
"11",1046,2015,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,10.1,10,12.4,1044.2,5.1,13.9,-1.7,16.1,0,0,383
"12",296,2013,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,9.1,9.9,12.4,1007.5,1.4,13.9,6.1,18.3,0,0.36,632
"13",2199,2019,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-0.3,10,18.9,1024.7,-12.1,7.2,-3.9,26.4,0,0,540
"14",2120,2018,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,4.4,9.7,15.9,1014.7,-1.9,7.8,1.1,24.2,0,0.04,732
"15",1259,2016,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,20.5,5.9,7.4,1014.4,17.6,25,17.2,11.4,1,0,761
"16",199,2013,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,23.3,2.8,11,1013.4,21.9,26.7,20.6,18.3,1,0,697
