"","id","year","mo","day","temp","visib","num_collisions"
"1",1491,2016,7,6,21.6,9,599
"2",476,2013,10,6,14.1,10,471
"3",1807,2017,6,7,16.4,9.3,702
"4",2266,2018,9,4,18.9,6.3,718
"5",2678,2019,10,3,14.3,8.4,595
"6",1416,2016,5,1,10.4,10,742
"7",1496,2016,8,4,17.9,10,715
"8",2216,2018,7,3,21,5,657
"9",1046,2015,5,2,14.6,0.9,684
"10",1455,2016,6,5,18.5,8.8,811
"11",571,2014,1,3,-3.9,1.9,498
"12",268,2013,3,1,3.4,10,498
"13",947,2015,2,1,0.6,5.7,680
"14",2034,2018,1,3,5.1,8.8,615
"15",207,2013,1,3,-8.8,10,545
"16",134,2012,11,7,12.6,7,526
"17",2198,2018,7,6,19.6,9.9,526
"18",900,2014,12,3,9.2,8,555
"19",282,2013,4,1,10,9.1,582
"20",2263,2018,9,1,16.8,9.5,650
"21",2660,2019,10,6,13.4,6.7,502
"22",1702,2017,2,7,6.1,7.3,462
"23",1272,2015,12,4,14.3,2.1,603
"24",456,2013,9,7,12.7,10,506
"25",636,2014,3,5,5.1,8.9,530
"26",1915,2017,9,3,20.4,1.5,696
"27",462,2013,10,6,16.3,9.6,497
"28",1316,2016,2,6,0.2,9.9,553
"29",249,2013,3,3,3.9,9.4,475
"30",1539,2016,9,5,14.3,10,780
"31",1901,2017,9,3,19.7,9.5,738
"32",693,2014,5,6,12.6,10,486
"33",2136,2018,5,7,11.4,8.1,495
"34",1577,2016,10,1,14.2,9.9,573
"35",181,2012,12,5,0.6,9.4,557
"36",2326,2018,11,1,5.4,10,497
"37",776,2014,8,5,19.3,10,522
"38",2477,2019,4,5,6.6,10,688
"39",1065,2015,5,7,18.2,7.1,555
"40",1567,2016,10,5,13.3,10,767
"41",290,2013,4,2,7.8,10,564
"42",288,2013,4,7,7.8,9.6,472
"43",908,2014,12,4,11.7,4.1,303
"44",405,2013,8,5,21.5,9.3,579
"45",2234,2018,8,7,21.6,7.8,499
"46",2047,2018,2,2,-1.1,10,545
"47",1610,2016,11,6,8.3,6.8,463
"48",2426,2019,2,3,-2.9,10,615
"49",2536,2019,6,1,15.2,10,613
"50",1851,2017,7,2,17.1,9.5,595
"51",626,2014,3,2,-2.4,10,551
