"","id","year","jan","feb","mar","apr","may","jun","jul","aug","sep","oct","nov","dec","mon","tue","wed","thu","fri","sat","sun","temp","visib","num_collisions"
"1",1552,2017,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8.2,5.7,551
"2",1799,2017,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,-6.1,4.9,462
"3",679,2014,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,11.2,6.5,666
"4",2077,2018,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,18,8,529
"5",1221,2016,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15.2,10,652
"6",2458,2019,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,12.9,7.9,525
"7",795,2015,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-2.4,10,582
"8",557,2014,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,20.9,9.6,624
"9",1877,2018,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.3,10,597
"10",596,2014,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,17.2,10,608
"11",1733,2017,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,15.3,6.5,669
"12",2518,2019,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2.2,10,414
"13",700,2014,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1.9,10,579
"14",2291,2019,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7.6,7.6,589
"15",1497,2017,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6.1,7.3,462
"16",2415,2019,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,15.3,10,687
"17",807,2015,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4.1,9.8,628
"18",2107,2018,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,13.8,2.1,679
"19",2346,2019,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,20.5,1.5,471
"20",638,2014,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,17.2,10,620
"21",318,2013,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,11.7,10,617
"22",1628,2017,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,20.2,9.6,667
"23",1904,2018,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7.1,2.6,741
"24",303,2013,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,12.7,9.1,615
"25",139,2013,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14.2,2.9,657
"26",463,2014,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11.4,6.6,452
"27",1669,2017,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,22.7,6.3,538
"28",1278,2016,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,23.2,8.3,699
"29",684,2014,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2.8,10,512
"30",1183,2016,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,10,733
"31",1407,2016,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,6.3,10,466
"32",165,2013,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,16.9,10,596
"33",2283,2019,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10.7,4.3,553
"34",583,2014,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,19.2,8.4,572
"35",539,2014,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,19.6,10,610
"36",2011,2018,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,23.2,5.4,722
"37",1568,2017,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9.1,10,651
"38",500,2014,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10.2,8.6,593
"39",721,2014,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,-2.8,9.9,461
"40",2260,2019,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4.6,10,537
"41",131,2013,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,13.4,3.3,527
"42",957,2015,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,21.9,10,609
"43",1423,2016,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,4.3,9.8,630
"44",2433,2019,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,15.2,10,454
"45",1379,2016,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,16.2,9.3,557
"46",2352,2019,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,21.6,7.9,747
"47",2090,2018,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,15.3,9,629
"48",495,2014,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,14.3,5.8,619
"49",2409,2019,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,16.7,7.4,489
"50",2202,2019,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1.4,8.2,687
"51",1194,2016,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8.2,9,479
"52",707,2014,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3.2,9.9,720
"53",991,2015,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,15.4,8.1,683
"54",798,2015,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.7,9.4,432
"55",874,2015,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,14.4,8.4,598
"56",360,2013,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,6.2,6.9,394
"57",886,2015,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,15.1,10,615
"58",2466,2019,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,10.6,10,479
"59",915,2015,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,18.3,10,659
"60",147,2013,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,13.7,9.9,686
"61",2495,2019,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,7.1,4.3,580
"62",185,2013,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,22,6.8,576
"63",636,2014,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,15.3,9.6,505
"64",1884,2018,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3.1,10,627
"65",884,2015,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,17.9,3.6,593
"66",269,2013,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,14.5,10,553
