"","id","year","jan","feb","mar","apr","may","jun","jul","aug","sep","oct","nov","dec","mon","tue","wed","thu","fri","sat","sun","temp","visib","wdsp","slp","dewp","max","min","mxpsd","fog","prcp","num_collisions"
"1",92,2012,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.52442996742671,0.941176470588235,0.174757281553398,0.435684647302904,0.642857142857143,0.488505747126437,0.645522388059702,0.199004975124378,0,NA,449
"2",1818,2017,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0.843023255813954,0.763440860215054,0.239482200647249,0.487804878048779,0.841191066997519,0.842857142857143,0.791428571428571,0.199004975124378,0,NA,845
"3",2131,2018,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.575596816976127,1,0.142465753424658,0.529411764705883,NA,0.5425,0.565104166666667,0.201980198019802,0,NA,713
"4",948,2015,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.155737704918033,0.925531914893617,0.4,NA,0.212264150943396,0.396825396825397,0.17312661498708,NA,0,NA,740
"5",1787,2017,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.61046511627907,0.946236559139785,0.200647249190939,0.687361419068734,0.580645161290323,0.651428571428571,0.554285714285714,0.171641791044776,0,NA,719
"6",759,2014,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.914893617021277,0.956521739130435,0.240356083086053,0.37603305785124,0.898989898989899,0.84984984984985,0.948948948948949,NA,0,0.0412371134020619,526
"7",2643,2019,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.797142857142857,1,0.25,0.441241685144125,0.758373205741627,0.784530386740331,0.828169014084507,0.214285714285714,0,NA,604
"8",1539,2016,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.724310776942356,1,0.161654135338346,0.738938053097346,0.68018018018018,0.709302325581395,0.684729064039409,0.092436974789916,0,NA,780
"9",442,2013,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.742857142857143,1,0.105691056910569,0.55069124423963,0.713936430317848,0.706349206349206,0.672566371681416,0.142857142857143,0,NA,476
"10",507,2013,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.517142857142857,0.979381443298969,0.336043360433604,0.336405529953917,0.420537897310513,0.58994708994709,0.489675516224189,0.356107660455487,0,NA,600
"11",912,2014,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0.446808510638298,0.989130434782609,0.169139465875371,0.586776859504131,0.409090909090909,0.468468468468469,0.465465465465466,NA,0,0.00343642611683849,411
"12",1277,2015,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0.486338797814208,0.585106382978723,0.344578313253012,NA,0.53066037735849,0.558201058201058,0.44702842377261,NA,1,NA,533
"13",2070,2018,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.551724137931034,1,0.172602739726027,0.434077079107507,NA,0.585,0.536458333333333,0.201980198019802,0,NA,619
"14",1165,2015,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0.997267759562842,0.904255319148936,0.28433734939759,NA,0.971698113207547,0.91005291005291,0.976744186046511,NA,0,NA,795
"15",980,2015,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.215846994535519,0.98936170212766,0.212048192771084,NA,0.268867924528302,0.206349206349206,0.144702842377261,NA,0,NA,578
"16",1695,2017,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.552325581395349,0.946236559139785,0.414239482200647,0.290465631929046,0.531017369727047,0.557142857142857,0.554285714285714,0.288557213930348,0,NA,438
"17",645,2014,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.446808510638298,1,0.308605341246291,0.580578512396694,0.373737373737374,0.399399399399399,0.450450450450451,NA,0,0,484
"18",1560,2016,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.694235588972431,0.626506024096386,0,0.712389380530973,0.704954954954955,0.758720930232558,0.630541871921182,0.030812324929972,1,NA,754
