"","id","year","jan","feb","mar","apr","may","jun","jul","aug","sep","oct","nov","dec","mon","tue","wed","thu","fri","sat","sun","temp","visib","wdsp","slp","dewp","num_collisions"
"1",677,2014,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0921638292003313,0.503562903652236,-0.641949835589031,0.801854191661312,0.0406052965616222,596
"2",140,2012,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,-1.13989835369647,0.755659732303267,0.00756864730461999,2.4652267485113,-1.38892134877801,542
"3",1764,2017,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.142790353485299,0.736499136848386,0.380725428585398,0.784494042561538,-0.296978917718218,470
"4",848,2014,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.484206583862643,0.706265368315116,0.686463583455867,-2.25899505730409,0.159086594305019,515
"5",1935,2017,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0.380653594458527,0.819277330828265,-0.221572981454423,1.10289052605458,0.231118641314957,737
"6",1600,2016,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,-0.318792495692066,0.542895396339217,-0.626927184304978,-0.692625901482814,-0.106826969513499,707
"7",1611,2016,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,-0.995500844046643,0.744980028996378,0.040518609948263,0.423074510874392,-1.10736162284721,647
"8",252,2013,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.869738593873785,0.737730795073134,3.41923599746575,0.272805750791837,-0.707881033815538,569
"9",1145,2015,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1.39634295771611,-0.933149269042131,-1.28941123755894,0.178333679843496,1.45102960843924,594
"10",994,2015,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1.16551930772463,-0.60744182554633,-0.52469320827755,-0.121286943806865,-0.741192874832289,507
"11",181,2012,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,-1.82633302419917,0.391994368544415,2.07953199723274,-0.123142307076032,-1.73722435828439,557
"12",2559,2019,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1.06319002132963,-1.80683814808513,-1.59489801644698,0.600720716424354,1.21467466726718,542
