"","id","year","jan","feb","mar","apr","may","jun","jul","aug","sep","oct","nov","dec","mon","tue","wed","thu","fri","sat","sun","temp","visib","wdsp","slp","dewp","max","min","mxpsd","fog","prcp","num_collisions"
"1",245,2013,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.947517495445249,0.77913810557624,-0.247257526052193,-1.76154784262847,-0.857120743477945,-1.16022983462533,-0.582153678246592,-0.514183676917843,0,-0.393654343625281,474
"2",2279,2018,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.661605818298313,-0.748092474436403,-0.503816606088447,0.0230520349878852,0.78236498243638,0.727289249837538,0.840864033711514,-0.229421641406152,0,-0.0869408133751099,712
"3",767,2014,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1.36946441697109,-2.1315691369652,-1.39812362796843,-0.850462659550099,1.37621265294173,1.39258098756508,1.55510254439661,-1.32015174178317,1,-0.316782740663427,562
"4",1097,2015,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1.06017098623294,-0.560912190761216,-0.885810055438209,-0.759609142018513,1.01861875164715,1.05539580684255,1.04603340887434,-0.914945471821253,0,-0.381596528790291,603
"5",1008,2015,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.319293310542849,-1.63109379081885,0.749836840524774,-1.74965989842842,-0.288669885166148,-0.235032765699934,-0.181641425615838,1.54364797265638,1,0.759014993396746,507
"6",755,2014,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1.17976630987642,0.706265368315116,-1.00981816701685,-0.403524494878164,1.08539492211703,1.31587888342365,1.20998196061486,-1.32015174178317,0,-0.344738664343831,653
"7",353,2013,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.698802587817412,-2.07796631913803,-1.31238413623618,-0.546397038504934,0.891115855424528,0.544008034051079,0.902179670207156,-0.873658357774379,1,-0.173087052405414,613
"8",1327,2016,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1.26618418338847,0.744980028996378,0.353383826004469,0.994870972207447,-1.32970265692137,-1.26528218231063,-0.948458871964489,0.0562868150986001,0,-0.34721851393813,592
"9",1915,2017,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1.31889193385293,-1.29156661565868,-0.408493177673677,-1.30418688915281,1.25562790583932,1.26025521810033,1.40153575061828,0.400858703967594,1,-0.161054156006757,740
"10",189,2013,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1.0123332467548,0.77913810557624,0.654003451795793,0.0543516736460283,-1.13428020427956,-1.16022983462533,-0.934368371100023,0.564240365651767,0,-0.393654343625281,389
"11",1821,2017,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1.12067256637524,0.736499136848386,-0.761564659421158,-0.145223689238136,0.833149858612778,1.40344577475972,1.04805627351155,-0.775176075079302,0,-0.349208416910856,669
"12",1007,2015,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-0.469991090862892,-1.11926780818259,0.962258515325161,-0.616312322011827,-0.147884955047793,-0.816306897475828,-0.115280623751504,0.321986633785507,0,-0.381596528790291,491
"13",1946,2017,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.658160708927294,0.653720942868505,0.318418696512313,-0.476356032070901,0.843711809793441,0.323007938147966,-0.138624828203891,0.400858703967594,0,-0.349208416910856,613
"14",347,2013,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0.919176142269894,-0.00760079398276182,0.838352288173791,-1.84346812155815,0.731216166500521,0.902794953772428,1.02797063194052,0.39231769219864,0,-0.299125504531052,615
"15",947,2015,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-1.23507212941081,-1.21232707775282,0.516172998244348,-0.407880583820265,-0.942314203572796,-0.944187206466524,-1.47567706197035,1.72689717348701,1,-0.381596528790291,680
"16",1780,2017,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.446726716951091,0.819277330828265,-0.0761906066172242,-0.680129781506451,0.114937178327659,0.687492991462773,0.202230381863311,0.0774491397296979,0,-0.187933336135914,694
"17",1120,2015,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1.04857884928524,0.64885831365176,-1.52307507983937,-0.329718681998427,0.897945954402844,1.25302901164635,0.990732740654065,-1.46469307431315,0,-0.381596528790291,451
"18",1433,2016,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0.425586687497968,-0.366485450618007,-1.04408080571325,0.297558214484194,0.693600753153468,0.245691181128951,0.711733970427993,-1.29885075428715,0,-0.34721851393813,710
"19",1550,2016,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.777475028642349,-1.4274297720681,0.0613762910186766,0.367289490256519,0.982644097449873,0.379405638070507,1.07490115470135,0.546442957216848,0,2.45812312185338,637
"20",2561,2019,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1.27977934081978,-0.646264590582142,0.128495695552189,-0.588355306610499,1.10991679817958,1.01955867319713,1.30380475413651,0.843838101416072,1,-0.398460983615523,441
"21",26,2012,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1.13243710727796,0.0889398987453717,-0.162264414164898,-1.22485836663371,0.840217912062872,1.17310392547047,1.10725582698238,-0.387112616525494,1,-0.419755884837834,604
"22",1882,2017,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.922453198897548,0.777888233838326,-1.73770346189949,0.873645057939595,0.695844493264152,1.03896072144491,0.694576796404823,-1.48079694250744,0,-0.349208416910856,570
"23",1200,2015,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.781959699488241,-0.840089999471902,-0.567177543237628,-1.82782180025026,0.94822628658797,0.857762602038746,0.371365256586947,-0.914945471821253,1,0.378811152667734,724
"24",2590,2019,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1.3562226300516,0.707737893171341,-0.897333894923509,-0.294282741773927,1.06801365054455,1.31153189719474,1.43902835632338,-0.573249488379471,0,-0.429504368678419,616
"25",665,2014,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.401051249245803,0.402211671320797,0.461655158694423,-0.985898467026445,-0.357922704938893,-0.243730567452162,-0.084220228566701,0.235025035295382,0,-0.344738664343831,548
"26",2445,2019,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-1.16640591459835,0.756095124733965,-0.938367078542537,1.18886584609751,-1.22618368247379,-1.08772633478561,-1.15480619471566,-1.08155264558874,0,-0.429504368678419,562
"27",1340,2016,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.535339167165531,-0.87169703226091,1.70913309558136,-1.11101355611677,-0.36251915869878,-0.676938571767783,-0.585291687691134,1.22401174190972,0,0.0735827314305971,653
"28",1273,2015,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.24872139989424,-2.00333086909976,-1.52307507983937,0.477954303493872,0.485647230484804,0.346241366075959,0.371365256586947,-0.731696270990622,1,1.18146370531787,321
"29",1154,2015,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1.23405304044837,0.788447218007104,-0.992020892838402,0.243468598028358,0.857721688654742,1.25302901164635,1.11239421073868,-1.28144387348252,0,-0.381596528790291,609
"30",2334,2018,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,-1.80755364972164,0.827898366437909,1.87359455409199,0.556795306630719,-2.36566878768155,-1.03555899615018,-1.61626606479856,0.89439754371081,0,-0.403089225648237,412
"31",197,2013,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.428991484968821,-1.58107859310076,-1.08706889177418,0.518566587580877,0.0809574315428943,-0.814256733465457,-0.0160943504464337,-1.2487623725812,1,-0.362144730593871,373
"32",1677,2017,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1.00688197788531,0.819277330828265,-0.263110802836479,-0.0178650958409195,-1.21586867043594,-1.05682833511523,-0.98445071985213,0.400858703967594,0,-0.349208416910856,586
"33",2414,2019,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1.57410345716804,0.756095124733965,0.251595246409273,2.2500842322469,-2.00139191372199,-1.79861766277979,-1.29002979690253,-0.234380716906624,0,-0.429504368678419,445
"34",1808,2017,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1.16031643987078,-0.174060996930296,-0.0969595173082528,-0.603714625468118,0.864835712154768,1.48154971475575,1.04805627351155,-0.0842556423892505,0,-0.349208416910856,829
"35",2525,2019,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.298757129011469,-1.08147967464576,-1.10249981301865,-0.741784470873067,0.54422430510657,0.879919305198271,0.406411757805469,-0.742683874115895,1,0.0361464072650155,557
"36",2578,2019,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1.06319002132963,0.707737893171341,-0.363902507876146,-0.48606919710213,1.05753786363579,0.85453032919848,1.3406839183693,-0.388411976667009,0,-0.429504368678419,626
"37",1944,2017,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.19564885147935,0.819277330828265,0.256111964439229,-0.0815443925395277,-0.0857398941049479,0.323007938147966,0.341097319298096,0.0774491397296979,0,0.349650266447225,759
"38",1918,2017,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.301365847467451,0.819277330828265,-0.74079574873013,1.21751326011209,0.104375227146995,0.244903998151935,0.277975984100466,-1.0985856393172,0,-0.1341749758776,571
"39",830,2014,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1.01536128372771,0.402211671320797,0.502529417741958,-0.525416721606872,1.06385286798186,0.817315206504332,1.14835328493955,2.43574688965183,1,-0.149047198581003,639
"40",1388,2016,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.44059999839589,0.643937712667798,-0.75207327072746,-0.0232056540684967,-0.295816848476533,0.21894828974064,-0.520440404785178,0.373446671763349,0,-0.34721851393813,732
"41",810,2014,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.737137393322199,0.706265368315116,-1.21418946225453,-0.227457945158905,0.288338919115996,0.957935730763626,0.322529030890361,-0.938693287028057,0,-0.344738664343831,650
"42",2710,2019,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,-0.784189468439265,-1.56505199027201,1.87240599936088,-3.31172297227099,-0.440499664316825,-0.795753110788002,-0.675377059689489,1.73721940802631,0,1.43309873509532,620
"43",85,2012,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.197465745731191,0.14955079270518,0.686900893182692,-0.109868619611478,0.0623411908319403,0.215943271293646,0.251282307744901,-0.559718565089366,0,0.216876495013628,480
"44",112,2012,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.12645526257574,-2.27488496568717,0.618967668594885,-1.29122680395646,0.596405805408401,0.0336269562123459,0.438526515078099,0.447149468199885,1,-0.0435640240165156,587
"45",253,2013,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.882701744135696,0.77913810557624,0.346755391165798,1.36507613652088,-0.707881033815538,-1.09616074181795,-0.582153678246592,0.39231769219864,0,-0.393654343625281,415
"46",457,2013,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.595097385722126,0.696323484570029,-0.00145907754819718,-0.000261845640419996,0.635276353146117,0.608077126858462,0.0468011304202506,0.39231769219864,0,-0.362144730593871,605
"47",1124,2015,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1.52385646414076,-1.35191598210816,-0.949536557878325,-0.433934551094201,1.44097354200221,1.63666993861844,1.47737862099252,-0.914945471821253,1,-0.381596528790291,629
"48",1098,2015,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1.03698671233755,-0.328264016835643,-1.18320040015875,-0.564204387463926,0.787329223595565,1.05539580684255,1.04603340887434,-0.0139702344039837,1,-0.381596528790291,549
"49",502,2013,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,-0.610475588635571,0.77913810557624,0.87931869625779,0.600486866510542,-0.963720536093949,-0.596421817920352,-0.997263851966707,0.923715046508303,0,-0.393654343625281,620
"50",1717,2017,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1.11259897387341,-0.836286548769336,1.68916680212018,-0.552771188109234,-0.825076476751394,-0.913637778455845,-1.893397946698,3.2674434778944,0,-0.322329236781699,374
"51",454,2013,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.49139218362684,0.77913810557624,0.244339370955799,0.450299688472813,0.45405670569891,0.403056029874835,0.185171188326956,0.220395018745515,0,-0.393654343625281,553
"52",2004,2017,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,-1.61475470481689,0.819277330828265,0.505338892731568,0.924588495298479,-1.91295744835974,-0.692343281800426,-1.33793019695886,0.239153921848646,0,-0.322329236781699,543
"53",2121,2018,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.328564729790908,0.827898366437909,-0.793744796354354,1.14018911517054,-0.707140928928142,-0.227586883405809,-0.417666016744864,-0.53465648180829,0,-0.403089225648237,568
"54",1763,2017,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.19564885147935,-2.20212674943736,0.131498500293059,-0.0815443925395277,0.38954790902491,0.323007938147966,0.290600251139992,0.577263920824628,1,-0.0535374354901291,661
"55",1606,2016,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,-1.18497918158592,0.744980028996378,0.228237739581987,0.520698296955638,-1.31858560521766,-1.26528218231063,-1.02628041145164,0.214866743430974,0,-0.34721851393813,807
"56",1379,2016,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.914295842244093,0.744980028996378,1.12511802560978,0.423074510874392,-1.28523445010653,-0.971110377039205,-0.727964510084238,0.705022885549223,0,-0.34721851393813,499
"57",722,2014,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.876249338524955,0.655589752149396,-0.989381037493081,-0.241001525906543,0.396049189791811,1.03463783490506,0.322529030890361,-0.938693287028057,0,-0.344738664343831,477
"58",2099,2018,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.516571795883798,0.657520978235281,0.404625056744727,0.184416279903167,-0.707140928928142,-0.705024950027482,-0.285820011458958,-0.0351812884229739,0,-0.150170495829735,589
"59",1795,2017,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.288151222968938,-1.8296248765279,-0.761564659421158,0.211380372274064,0.474043518470218,0.179817381488577,0.416842921535252,-1.0985856393172,1,-0.322329236781699,669
"60",1835,2017,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1.23960418686185,0.653720942868505,-0.470799909746762,0.262323809632962,1.23450400347799,1.26025521810033,1.26266881318349,-0.775176075079302,0,-0.349208416910856,667
"61",1983,2017,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,-0.689730989921001,0.819277330828265,-0.200804070763394,1.48496630624623,-0.381474527163526,-0.549152725141038,-1.12331765728692,0.400858703967594,0,-0.349208416910856,704
"62",849,2014,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.243922314876065,0.706265368315116,0.420780899646888,-0.864006240297737,-0.131731136519681,0.178131005325721,0.384157706565673,0.0736387659759085,0,-0.344738664343831,642
"63",1592,2016,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,-0.0887116572515098,0.138726131024896,-1.54466515140318,-0.873927218490869,0.0821629094495349,-0.00836628706000423,-0.44261886529803,-1.47184703974064,1,-0.34721851393813,541
"64",534,2013,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,-1.38826460435021,0.77913810557624,0.490137819459796,-0.628317317434614,-1.66727916735958,-1.65996875852292,-1.21110848691343,0.0484723452923882,0,2.22164353798171,640
"65",2732,2019,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,-1.08996262536653,0.756095124733965,-1.41024869016136,0.703006825932738,-0.870006927575965,-0.884614526787274,-1.01958259252879,-1.63606518072613,0,-0.429504368678419,264
"66",1185,2015,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.932657479808285,0.64885831365176,-0.970778725358363,1.01206063260973,0.998506618773097,0.985642911029442,0.249703786502334,-1.06765313918011,0,-0.381596528790291,586
"67",1238,2015,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.306682084632718,-0.514382555976101,0.728594673044735,0.0220098761998354,0.485647230484804,0.0207278522814591,0.183342984638,0.321986633785507,0,-0.0436375592533909,819
"68",1271,2015,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0.0748393456788046,-2.04986050388488,-0.567177543237628,0.686386041685419,0.395142632551576,-0.0373995608961304,0.128042316417722,-0.227760968706386,1,0.167586796707172,805
"69",1547,2016,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.357915852662511,0.744980028996378,-0.0637697954038059,0.367289490256519,-0.329168003587656,0.366034192376351,0.205893963761534,-0.102293113233775,0,-0.34721851393813,572
"70",2398,2019,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-0.98803823972411,0.224165577545097,0.785026633456636,-0.792927525627252,-0.890958501393484,-0.529168862790186,-0.884358990341923,1.55238189631384,0,0.439710413082658,666
"71",1374,2016,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1.33385501822393,0.643937712667798,2.02199831163757,0.437020766028844,-1.30746855351395,-1.19842495383985,-1.02628041145164,1.69975152690684,0,-0.34721851393813,672
"72",2096,2018,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.729646470789073,0.827898366437909,-0.155902777769359,0.109940474557653,-0.717704800639947,-0.766234958568722,-0.825190033083119,-0.53465648180829,0,-0.403089225648237,629
"73",1920,2017,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.19564885147935,0.819277330828265,-1.19771178393275,2.49109919408425,0.146623031869649,0.179817381488577,0.139109046665681,-1.0985856393172,0,-0.349208416910856,687
"74",30,2012,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.801054852552525,0.755659732303267,-0.977463109218584,0.314889379254141,1.01436941681607,0.660339289304315,0.960135378363436,-1.07753641078098,0,-0.390818049390041,530
"75",804,2014,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1.15447322893047,0.554238519817956,0.277720992980514,0.0298700890461495,0.96691362437363,1.03463783490506,0.729278290347423,0.235025035295382,0,-0.344738664343831,730
"76",94,2012,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.185630665205282,-0.880834404611567,-0.875563272336873,-0.0965949321469247,0.306153297486412,0.0906008046752522,0.599021549935125,-0.904930462217109,0,-0.419755884837834,593
"77",520,2013,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,-0.519733536802196,-0.46308120951692,-0.779820831144186,-0.368903100823957,-0.0896022366427128,-0.596421817920352,-0.368309043299865,-1.02995169727722,1,-0.173087052405414,549
"78",2236,2018,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1.82724962807423,0.444549242981995,-0.155902777769359,-0.336914357515413,1.54296374568635,1.8902794121211,1.77577207119339,-0.229421641406152,0,-0.403089225648237,647
"79",2044,2018,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.917653536881963,0.444549242981995,0.578581970904271,1.09053857827355,-0.643757698657311,-0.90089697735945,-0.885120035485804,0.741780123509741,0,-0.403089225648237,541
"80",630,2014,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.881619787218959,0.554238519817956,0.236846733932979,-0.376437333382888,-0.885703031250386,-0.601673720112184,-1.39074815288332,0.895241591602316,0,-0.344738664343831,493
"81",1387,2016,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.251121660856608,0.744980028996378,-1.21094225427656,0.883300930971733,-0.540391985958106,0.21894828974064,-0.585291687691134,-0.952858183380146,0,-0.34721851393813,687
"82",2178,2018,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.83707907998501,0.444549242981995,-0.271874053875722,-0.051423770357614,0.898567571266237,1.54750336429016,0.97271003899742,-0.229421641406152,1,-0.403089225648237,808
"83",2089,2018,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.980322558912927,0.23157750772871,2.27949402046426,-1.51611460881933,-0.728268672351752,-1.37833504398112,-1.08888204365493,1.69910757749827,0,-0.403089225648237,477
"84",2184,2018,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.824545275578818,-1.85554549775349,-1.08367298662026,-0.895482897606742,0.961950801537067,0.592627231046809,0.912780036594735,-0.992508742411497,1,2.85323942076497,553
"85",121,2012,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,-0.264102394779241,-1.60816513212927,5.4761932266231,-2.95043773702526,0.236492695585134,-0.262637055794767,0.144285617840216,3.39583442283269,0,-0.332942378494453,298
"86",456,2013,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.258055478912447,0.77913810557624,-0.615955198808188,0.805287563834735,0.390096830129307,0.761842949596184,0.0468011304202506,-0.686106350370969,0,-0.362144730593871,506
